example_id                                         | status | run_time        |
-------------------------------------------------- | ------ | --------------- |
./spec/controllers/tasks_controller_spec.rb[1:1:1] | passed | 0.07739 seconds |
./spec/controllers/tasks_controller_spec.rb[1:1:2] | passed | 0.01429 seconds |
./spec/controllers/tasks_controller_spec.rb[1:2:1] | passed | 0.01822 seconds |
./spec/controllers/tasks_controller_spec.rb[1:2:2] | passed | 0.01438 seconds |
./spec/controllers/tasks_controller_spec.rb[1:3:1] | passed | 0.02203 seconds |
./spec/controllers/tasks_controller_spec.rb[1:3:2] | passed | 0.01692 seconds |
./spec/controllers/tasks_controller_spec.rb[1:4:1] | passed | 0.01744 seconds |
./spec/controllers/tasks_controller_spec.rb[1:4:2] | passed | 0.01598 seconds |
./spec/controllers/tasks_controller_spec.rb[1:5:1] | passed | 0.01584 seconds |
./spec/controllers/tasks_controller_spec.rb[1:5:2] | passed | 0.01602 seconds |
./spec/controllers/tasks_controller_spec.rb[1:6:1] | passed | 0.01976 seconds |
./spec/controllers/tasks_controller_spec.rb[1:6:2] | passed | 0.03122 seconds |
./spec/controllers/tasks_controller_spec.rb[1:7:1] | passed | 0.01907 seconds |
